text,label
"Verify your account now",1
"Please update your password immediately",1
"Suspicious activity on your account. Click here",1
"Your BDO account is locked",1
"URGENT: GCash verification required",1
"Confirm your identity to avoid suspension",1
"Your Metrobank account has been compromised",1
"Final notice: Pay your balance now. Click link",1
"You won a free iPhone. Claim here!",1
"Hello how are you",0
"What time is our meeting?",0
"Can you send me the report?",0
"Thanks for the dinner yesterday",0
"Your Shopee order has been delivered",0
"I will be late for class",0
"See you tomorrow at 5",0
"Don't forget to buy milk",0
"Happy birthday to you!",0
Click here to secure your PayPal account 35,1
Let's eat mamaya 394,0
URGENT: Verify your Maya account now 323,1
Salamat sa tulong 11,0
"BDO ALERT: Unauthorized login, confirm details 28",1
Hello kumusta ka 453,0
Hello kumusta ka 64,0
Final warning: account will be closed 308,1
URGENT: Verify your Maya account now 486,1
"GCash: Suspicious activity detected, verify now 150",1
Final warning: account will be closed 7,1
URGENT: Verify your PayPal account now 435,1
Anong oras tayo magkikita 72,0
Meeting at 3 PM 193,0
Meeting at 3 PM 335,0
Click here to secure your PayPal account 141,1
Final warning: account will be closed 394,1
Happy birthday! 362,0
"GCash: Suspicious activity detected, verify now 386",1
I'll call you later 311,0
Nanalo ka ng ₱5000! I-claim ngayon 222,1
"Ang iyong GCash account ay naka-lock, i-verify agad 450",1
Meeting at 3 PM 8,0
Maya: Update your info to avoid suspension 13,1
"Pakicheck ang iyong account, may problema 372",1
Final warning: account will be closed 161,1
Punta tayo sa mall 24,0
"BDO ALERT: Unauthorized login, confirm details 277",1
"Ang iyong Maya account ay naka-lock, i-verify agad 169",1
See you bukas 302,0
Meeting at 3 PM 130,0
"GCash: Suspicious activity detected, verify now 88",1
Punta tayo sa mall 386,0
See you bukas 156,0
Click here to secure your GCash account 381,1
Let's eat mamaya 312,0
"Pakicheck ang iyong account, may problema 491",1
"BDO ALERT: Unauthorized login, confirm details 306",1
"Ang iyong PayPal account ay naka-lock, i-verify agad 83",1
"Ang iyong GCash account ay naka-lock, i-verify agad 480",1
Punta tayo sa mall 356,0
"Ang iyong GCash account ay naka-lock, i-verify agad 303",1
Final warning: account will be closed 133,1
